句子,句型,人工判断
“不,否定句,
有时会有三个,未知句型,
但不会再多了,否定句,
”,未知句型,
“三颗飞星出现,未知句型,
是不是预示着更美好的纪元,肯定句,
”,未知句型,
周文王用充满恐惧的眼神瞪了汪淼一眼,未知句型,
“你在说什么呀,未知句型,
三颗飞星……祈祷它不要出现吧,否定句,
”,未知句型,
周文王的话没错,未知句型,
他们向往的恒纪元很快开始了,未知句型,
太阳升起落下开始变得有规律,未知句型,
一个昼夜渐渐固定在十八小时左右,未知句型,
日夜有规律的交替使天气变得暖和了一些,未知句型,
“恒纪元能持续多长时间,未知句型,
”汪淼问,未知句型,
“一天或一个世纪,未知句型,
每次多长谁都说不准,否定句,
”周文王坐在沙漏上,未知句型,
仰头看着正午的太阳,未知句型,
“据记载,未知句型,
西周曾有过长达两个世纪的恒纪元,未知句型,
唉,未知句型,
生在那个时代的人有福啊,未知句型,
”,未知句型,
“那乱纪元会持续多长时间呢,未知句型,
”,未知句型,
“不是说过嘛,肯定句,
除了恒纪元都是乱纪元,肯定句,
两者互为对方的间隙,未知句型,
”,未知句型,
“那就是说,肯定句,
这是一个全无规律的混乱世界,肯定句,
”,未知句型,
“是的,肯定句,
文明只能在较长的气候温暖的恒纪元里发展,未知句型,
大部分时间里,未知句型,
人类集体脱水存贮起来,未知句型,
当较长的恒纪元到来时,未知句型,
再集体浸泡复活,未知句型,
生产和建设,未知句型,
”,未知句型,
“那怎样预知每个恒纪元到来的时间和长短呢,未知句型,
”,未知句型,
“做不到,否定句,
从来没有做到过,否定句,
当恒纪元到来时,未知句型,
国家是否浸泡取决于大王的直觉,肯定句,
常常是：浸泡复活了,肯定句,
庄稼种下了,未知句型,
城镇开始修筑,未知句型,
生活刚刚开始,未知句型,
恒纪元就结束了,未知句型,
严寒和酷热就毁灭了一切,未知句型,
”周文王说到这里,未知句型,
一手指向汪淼,未知句型,
双眼变得炯炯有神,未知句型,
“好了,未知句型,
你已经知道了这个游戏的目标：就是运用我们的智力和悟性,肯定句,
分析研究各种现象,未知句型,
掌握太阳运行的规律,未知句型,
文明的生存就维系于此,未知句型,
”,未知句型,
“在我看来太阳运行根本就没有规律,否定句,
”,未知句型,
“那是因为你没能悟出世界的本原,肯定句,
”,未知句型,
“你悟出来了,未知句型,
”,未知句型,
“是的,肯定句,
这就是我去朝歌的目的,肯定句,
我将为纣王献上一份精确的万年历,未知句型,
”,未知句型,
“可这一路上,未知句型,
没看到你有这种能力,未知句型,
”,未知句型,
“对太阳运行规律的预测只能在朝歌做出,未知句型,
因为那里是阴阳的交汇点,肯定句,
只有在那里取的卦才是准确的,肯定句,
”两人又在严酷的乱纪元跋涉了很长时间,未知句型,
其间又经历了一次短暂的恒纪元,未知句型,
终于到达了朝歌,未知句型,
汪淼听到一种不间断的类似于雷声的轰鸣,否定句,
这声音是朝歌大地上许多奇怪的东西发出的,肯定句,
那是一座座巨大的单摆,肯定句,
每座都有几十米高,未知句型,
单摆的摆锤是一块块巨石,肯定句,
被一大束绳索吊在架于两座细高石塔间的天桥上,被字句,
每座单摆都在摇动中,未知句型,
驱动它们的是一群群身穿盔甲的士兵,肯定句,
他们合着奇怪的号子,未知句型,
齐力拉动系在巨石摆锤上的悬索,未知句型,
维持着它的摆动,未知句型,
汪淼发现,未知句型,
所有巨摆的摆动都是同步的,肯定句,
远远看去,未知句型,
这景象怪异得使人着迷,未知句型,
像大地上竖立着一座座走动的钟表,未知句型,
又像从天而降的许多巨大、抽象的符号,未知句型,
在巨摆的环绕下,未知句型,
有一座巨大的金字塔,未知句型,
夜幕中如同一座高耸的黑山,未知句型,
这就是纣王的宫殿,肯定句,
汪淼跟着周文王走进了金字塔基座上的一个不高的洞门,否定句,
门旁几名守卫的士兵在黑暗中如幽灵般无声地徘徊,未知句型,
他们沿着一条长长的隧道向里走,未知句型,
隧道窄而黑,未知句型,
间隔很远才有一枝火炬,未知句型,
“在乱纪元,未知句型,
整个国家在脱水中,未知句型,
但纣王一直醒着,未知句型,
陪伴着这片没有生机的国土,否定句,
要想在乱纪元生存,未知句型,
就得居住在这种墙壁极厚的建筑中,未知句型,
几乎像住在地下,未知句型,
才能避开严寒和酷热,未知句型,
”周文王边走边对汪淼解释,未知句型,
走了很长的路,未知句型,
才进入了纣王位于金字塔中心的大殿,未知句型,
其实这里并不大,否定句,
很像一个山洞,未知句型,
身披一大张花兽皮坐在一处高台上的人显然是纣王了,肯定句,
但首先吸引汪淼目光的是一位黑衣人,肯定句,
他的黑衣几乎与大殿中浓重的阴影融为一体,未知句型,
那张苍白的脸仿佛是浮在虚空中,肯定句,
“这是伏羲,肯定句,
”纣王对刚进来的周文王和汪淼介绍那位黑衣人,未知句型,
仿佛他们一直就在那儿似的,未知句型,
而黑衣人才是新来的,肯定句,
“他认为,未知句型,
太阳是脾气乖戾的大神,肯定句,对
他醒着的时候喜怒无常,未知句型,
是乱纪元,肯定句,对
睡着时呼吸均匀,未知句型,
是恒纪元,肯定句,对
伏羲建议竖起了外面的那些大摆,未知句型,
日夜不停地摆动,否定句,
声称这对太阳神有强烈的催眠作用,未知句型,
能使其陷入漫长的昏睡,未知句型,
但直到现在,未知句型,
我们看到太阳神仍醒着,未知句型,
最多只是不时打打盹儿,肯定句,对
”,未知句型,
纣王挥了一下手,未知句型,
有人端来一个陶罐,未知句型,
放到伏羲面前的小石台上——汪淼后来知道,未知句型,
那是一罐调味料,肯定句,对
伏羲长叹一声,未知句型,
端起陶罐喝下去,未知句型,
那咕咚咕咚的声音仿佛黑暗深处有一颗硕大的心脏在跳动,未知句型,
喝了一半后,未知句型,
他将剩下的调味料倒在身上,未知句型,
然后扔下陶罐,未知句型,
走向大殿角落的一口架在火上的青铜大鼎,未知句型,
爬上鼎沿,未知句型,
他跳进大鼎,未知句型,
激起了一大团蒸气,未知句型,
“姬昌坐下,未知句型,
一会儿就开宴,未知句型,
”纣王指指那口大鼎说,未知句型,
“愚蠢的巫术,未知句型,
”周文王朝大鼎偏了下头,未知句型,
轻蔑地说,未知句型,
“你对太阳悟出了什么,未知句型,
”纣王问,未知句型,
火光在他的双眸中跳动,未知句型,
“太阳不是大神,肯定句,错
太阳是阳,肯定句,对
黑夜是阴,肯定句,对
世界是在阴阳平衡中运转的,肯定句,对
这不在我们的控制之中,否定句,
但可以预测,肯定句,对
”周文王说着,未知句型,
抽出青铜剑,未知句型,
在火炬照到的地板上画出了一对大大的阴阳鱼,未知句型,
然后以令人目眩的速度在周围画出了六十四卦,未知句型,
看上去如同火光中时隐时现的大年轮,未知句型,
“大王,未知句型,
这就是宇宙的密码,肯定句,对
借助它,未知句型,
我将为您的王朝献上一部精确的万年历,未知句型,
”“姬昌啊,未知句型,
我现在急需知道的,未知句型,
是下一个长恒纪元什么时候到来,肯定句,对
”,未知句型,
“我将立刻为您占卜,未知句型,
”周文王说着,未知句型,
走到阴阳鱼中央盘腿坐下,未知句型,
抬头望着大殿的顶部,未知句型,
目光仿佛穿透了厚厚的金字塔看到了星空,未知句型,
他的双手手指同时在进行着复杂的运动,未知句型,
组合成一部高速运转的计算器,未知句型,
寂静中,未知句型,
只有大鼎中的汤发出咕嘟咕嘟的声响,未知句型,
仿佛煮在汤中的巫师在梦呓,未知句型,
周文王从阴阳图中站起来,未知句型,
头仍仰着,未知句型,
说：“下面将是一段为期四十一天的乱纪元,肯定句,对
然后将出现为期五天的恒纪元,未知句型,
接下来是为期二十三天的乱纪元和为期十八天的恒纪元,肯定句,对
然后是为期八天的乱纪元,肯定句,对
当这段乱纪元结束后,未知句型,
大王,未知句型,
您所期待的长恒纪元就到来了,未知句型,
这个恒纪元将持续三年零九个月,未知句型,
其间气候温暖,未知句型,
是一个黄金纪元,肯定句,对
”,未知句型,
“我们首先需要证实一下你前面的预测,未知句型,
”纣王不动声色地说,否定句,
汪淼听到上方传来一阵轰隆隆的声音,未知句型,
大殿顶上的一块石板滑开,未知句型,
露出一处正方形的洞口,未知句型,
汪淼调整方向,未知句型,
看到这个方洞通到金字塔的外面,未知句型,
在这个方洞的尽头,未知句型,
汪淼看到了几颗闪烁的星星,未知句型,
游戏的时间加快了,未知句型,
由两名士兵看守的周文王带来的沙漏几秒钟就翻动一次,未知句型,
标志着八小时的流逝,未知句型,
上方的窗口无规律地闪烁起来,未知句型,
不时有一束乱纪元的阳光射进大殿,否定句,
有时很微弱,未知句型,
如月光一般,未知句型,
有时则十分强烈,未知句型,
投在地上的方形光斑白炽明亮,未知句型,
使所有的火炬黯然失色,未知句型,
汪淼数着沙漏翻动的次教,未知句型,
当翻到一百二十次左右时,未知句型,
阳光投进窗口的间隔变得规则了,未知句型,
预测中的第一个恒纪元到来,未知句型,
沙漏再翻动十五下后,未知句型,
窗口的闪烁又紊乱起来,未知句型,
乱纪元又开始了,未知句型,
然后又是恒纪元,肯定句,
然后又是乱纪元,肯定句,
它们的开始和持续时间虽然有些小误差,未知句型,
但与周文王的预测已是相当的吻合了,肯定句,
当最后一段为期八天的乱纪元结束后,未知句型,
他预言的长恒纪元开始了,未知句型,
汪淼数着沙漏的翻动,未知句型,
二十天过去了,未知句型,
射进大殿的日光仍遵循着精确的节奏,未知句型,
这时,未知句型,
游戏时间的流逝被调整到正常,被字句,
纣王向周文王点点头：“姬昌啊,未知句型,
我将为你竖起一座丰碑,未知句型,
比这座宫殿还要高大,未知句型,
”,未知句型,
周文王深鞠一躬：“我的大王,未知句型,
让您的王朝苏醒吧,未知句型,
繁荣吧,未知句型,
”,未知句型,
纣王在石台上站起身,未知句型,
张开双臂,未知句型,
仿佛要拥抱整个世界,未知句型,
他用一种很奇怪的歌唱般的音调喊道：“浸泡……”,未知句型,
听到这号令,未知句型,
大殿内的人都跑向洞门,未知句型,
在周文王的示意下,未知句型,
汪淼跟着他沿着长长的隧道向金字塔外走去,未知句型,
走出洞门,未知句型,
汪淼看到时值正午,未知句型,
太阳在当空静静地照耀着大地,未知句型,
微风吹过,未知句型,
他似乎嗅到了春天的气息,未知句型,
周文王和汪淼一同来到了距金字塔不远的一处湖畔,否定句,
湖面上的冰已融化了,未知句型,
阳光在微波间跳动,未知句型,
先出来的一队士兵高呼着：“浸泡,未知句型,
浸泡,未知句型,
”都奔向湖边一处形似谷仓的高大石砌建筑,未知句型,
在来的路上,未知句型,
汪淼不时在远处看到过这种建筑,否定句,
周文王告诉他那是“干仓”,肯定句,
是存贮脱水人的大型仓库,肯定句,
士兵们打开干仓的石门,未知句型,
从中搬出一卷卷落满灰尘的皮卷,未知句型,
他们每人都抱着、夹着好几个皮卷,未知句型,
走向湖边,未知句型,
将那些皮卷扔进湖中,未知句型,
那些皮卷一遇到水,未知句型,
立刻舒展开来,未知句型,
一时间,未知句型,
湖面上漂浮着一片似乎是剪出来的薄薄的人影,肯定句,
每一张“人片”都在迅速吸水膨胀,未知句型,
渐渐地,未知句型,
湖面上的“人片”都变成了圆润的肉体,未知句型,
这些肉体很快具有了生命的迹象,未知句型,
一个个挣扎着从齐腰深的湖水中站立起来,未知句型,
他们睁大如梦初醒的眼睛看着这风和日丽的世界,未知句型,
“浸泡,未知句型,
”一个人高呼起来,未知句型,
立刻引来了一片欢呼声：“浸泡,未知句型,
浸泡,未知句型,
”……这些人从湖中跑上岸,未知句型,
赤身裸体地奔向干仓,未知句型,
将更多的皮卷投入湖中,未知句型,
浸泡复活的人一群群从湖中跑出来,未知句型,
这一幕也发生在更远处的湖泊和池溏中,未知句型,
整个世界在复活,未知句型,
“噢,未知句型,
天啊,未知句型,
我的指头——”,未知句型,
汪淼顺着声音看去,未知句型,
见一个刚浸泡复活的人站在湖中,未知句型,
举着一只手哭喊道,未知句型,
那手缺了中指,未知句型,
血从手上断指处滴到湖中,未知句型,
其他复活者纷纷拥过他的身边,未知句型,
兴高采烈地奔向湖岸,未知句型,
没有人注意他,否定句,
“行了,未知句型,
你就知足吧,未知句型,
”一个经过的复活者说,未知句型,
“有人整条胳膊腿都没了,未知句型,
有人脑袋被咬了个洞,被字句,
如果再不浸泡,否定句,
我们怕是都要被乱纪元的老鼠啃光了,肯定句,
”,未知句型,
“我们脱水多长时间了,未知句型,
”另一位复活者问,未知句型,
“看看大王宫殿上积的沙尘有多厚就知道了,未知句型,
刚听说现在的大王已不是脱水前的大王了,肯定句,
不知是他的儿子还是孙子,肯定句,
”,未知句型,
浸泡持续了八天才完全结束,未知句型,
这时所有的脱水人都已复活,未知句型,
世界又一次获得了新生,未知句型,
这八天中,未知句型,
人们享受着每天二十个小时、周期准确的日出日落,未知句型,
沐浴在春天的气息里,未知句型,
所有人都衷心地赞美太阳、赞美掌管宇宙的诸神,未知句型,
第八天夜里,未知句型,
大地上的篝火比天上的星星都密,未知句型,
在漫长的乱纪元中荒废的城镇又充满了灯火和喧闹,未知句型,
同文明以前的无数次浸泡一样,未知句型,
所有人将彻夜狂欢,未知句型,
迎接日出后的新生活,未知句型,
但太阳再也没有升起来,否定句,
各种计时器都表明日出的时间已过,未知句型,
但各个方向的地平线都仍是漆黑一片,肯定句,
又过了十个小时,未知句型,
没有太阳的影子,否定句,
连最微弱的晨光都见不到,否定句,
一天过去了,未知句型,
无边的夜在继续着,未知句型,
两天过去了,未知句型,
寒冷像一只巨掌在暗夜中压向大地,未知句型,
“请大王相信我,未知句型,
这只是暂时的,肯定句,
我看到了宇宙中的阳在聚集,未知句型,
太阳就要升起来了,未知句型,
恒纪元和春天将继续,未知句型,
”金字塔的大殿里,未知句型,
周文王跪在纣王端坐的石台下哀求道,未知句型,
“还是把鼎烧上吧,肯定句,
”纣王叹了口气说,未知句型,
“大王,未知句型,
大王,未知句型,
”一名大臣从洞门里跌跌撞撞地跑进来,未知句型,
带着哭腔喊道,未知句型,
“天上,未知句型,
天上有三颗飞星,未知句型,
”,未知句型,
大殿中的所有人都惊呆了,未知句型,
空气仿佛凝固了,未知句型,
只有纣王仍然不动声色,否定句,
他转向以前一直不屑于搭理的汪淼,否定句,
“你还不知道出现三颗飞星意味着什么吧,否定句,
姬昌啊,未知句型,
告诉他,未知句型,
”,未知句型,
“这意味着漫长的严寒岁月,未知句型,
冷得能把石头冻成粉末,把字句,对
”周文王长叹一声,未知句型,
说,未知句型,
“脱水——”纣王又用那歌唱般的声音喊道,未知句型,
其实,未知句型,
在外面的大地上,未知句型,
人们早已开始陆续脱水,未知句型,
重新变成人干以度过漫漫长夜,未知句型,
他们中的幸运者被重新搬入干仓,被字句,
还有大量的人干被丢弃在旷野上,被字句,
周文王慢慢站起身,未知句型,
朝架在火上的青铜大鼎走去,未知句型,
他爬上鼎沿,未知句型,
跳进去前停了几秒钟,未知句型,
也许是看到伏羲煮得烂熟的脸正在汤中冲他轻笑,肯定句,
“用文火,未知句型,
”纣王无力地说,未知句型,
然后转向其他人,未知句型,
“该EXIT的就EXIT 吧,未知句型,
游戏到这儿已经没什么玩头了,未知句型,
”,未知句型,
洞门上方出现了发着红光的EXIT 标志,未知句型,
人们纷纷向那里走去,未知句型,
汪淼也跟随而去,未知句型,
穿过洞门和长长的隧道来到了金字塔外,未知句型,
看到黑夜里大雪纷飞,未知句型,
刺骨的寒风使他打了个冷颤,未知句型,
天空的一角显示出游戏的时间又加快了,未知句型,
十天后,未知句型,
雪仍在下着,未知句型,
但雪片大而厚重,未知句型,
像是凝结的黑暗,肯定句,
有人在汪淼耳边低声说：“这是在下二氧化碳干冰了,肯定句,
”汪淼扭头一看,未知句型,
是周文王的追随者,肯定句,
又过了十天,未知句型,
雪还在下,未知句型,
但雪花已变得薄而透明,未知句型,
在金字塔洞门透出的火炬的微光中呈现出一种超脱的淡蓝色,未知句型,
像无数飞舞的云母片,未知句型,
“这雪花已经是凝固的氧、氮了,肯定句,
大气正在绝对零度中消失,未知句型,
”,未知句型,
金字塔被雪埋了起来,被字句,
最下层是水的雪,肯定句,
中层是干冰的,肯定句,
上层是固态氧、氮的雪,肯定句,
夜空变得异常晴朗,未知句型,
群星像一片银色的火焰,未知句型,
一行字在星空的背景上出现：,未知句型,
这一夜持续了四十八年,未知句型,
第 137 号文明在严寒中毁灭了,未知句型,
该文明进化至战国层次,未知句型,
文明的种子仍在,未知句型,
它将重新启动,未知句型,
再次开始在三体世界中命运莫测的进化,未知句型,
欢迎您再次登录,未知句型,
退出前,未知句型,
汪淼最后注意到的是夜空中的三颗飞星,肯定句,
它们相距很近,未知句型,
相互围绕着,未知句型,
在太空深渊中跳着某种诡异的舞蹈,未知句型,
5.叶文洁,未知句型,
汪淼摘下 V 装具后,未知句型,
发现自己的内衣已被冷汗浸透了,被字句,
很像是从一场寒冷的噩梦中醒来,肯定句,
他走出纳米中心,未知句型,
下楼开车,未知句型,
按丁仪给的地址去杨冬的母亲家,未知句型,
乱纪元,未知句型,
乱纪元,未知句型,
乱纪元……,未知句型,
这个概念在汪淼的头脑中萦绕,未知句型,
为什么那个世界的太阳运行会没有规律,否定句,
一个颗状星的行星,未知句型,
不管其运行轨道是正圆还是偏长的椭圆,肯定句,
其围绕恒星的运动一定是周期性的,肯定句,
全无规律的运行是不可能的……汪淼突然对自己很恼火,肯定句,
他使劲地摇头想赶走头脑中的这一切,未知句型,
不过是个游戏嘛,肯定句,
但他失败了,未知句型,
乱纪元,未知句型,
乱纪元,未知句型,
乱纪元……,未知句型,
见鬼,未知句型,
别去想它,未知句型,
为什么非想它不可,否定句,
为什么,未知句型,
很快,未知句型,
汪淼找到了答案,未知句型,
他已经有很多年没有玩过电子游戏了,否定句,
这些年来电子游戏的软硬件技术显然已经进化了很多,未知句型,
其中的虚拟现实场景和附加效果都是他学生时代所无法比拟的,肯定句,
但汪淼明白,未知句型,
《三体》的真实不在于此,否定句,
记得在大三的一次信息课中,未知句型,
教授挂出了两幅大图片,未知句型,
一幅是画面庞杂精细的《清明上河图》,肯定句,
另一幅是一张空旷的天空照片,肯定句,
空荡荡的蓝天上只有一缕似有似无的白云,未知句型,
教授问这两幅画中哪一幅所包含的信息量更大,未知句型,
答案是后者要比前者大一至两个数量级,肯定句,
《三体》正是这样,肯定句,
它的海量信息是隐藏在深处的,肯定句,
汪淼能感觉到,未知句型,
但说不清,否定句,
他突然悟出,未知句型,
《三体》的不寻常在于,否定句,
与其他的游戏相比,未知句型,
它的设计者是反其道而行之——一般游戏的设计者都是尽可能地增加显示的信息量,肯定句,
以产生真实感,未知句型,
但《三体》的设计者却是在极力压缩信息量,肯定句,
以隐藏某种巨大的真实,未知句型,
就像那张看似空旷的天空照片,未知句型,
汪淼放松了思想的缰绳,未知句型,
任其回到《三体》世界,未知句型,
飞星,未知句型,
关键在于不引人注意的飞星,否定句,
一颗飞星,未知句型,
二颗飞星,未知句型,
三颗飞星……这分别意味着什么,未知句型,
正想着,未知句型,
车已开到他要去的小区大门了,未知句型,
在要去的那栋楼门口,未知句型,
汪淼看到一位六十岁左右的头发花白、身材瘦削的女性,未知句型,
戴着眼镜,未知句型,
提着一个大菜篮子吃力地上楼梯,未知句型,
他猜她大概就是自己要找的人,肯定句,
一问,未知句型,
她果然就是杨冬的母亲,肯定句,
叶文洁,未知句型,
听汪淼说明来意后,未知句型,
她露出发自内心的感动,未知句型,
她是汪淼常见到的那种老知识分子,肯定句,
岁月的风霜已消去了他们性情中所有的刚硬和火热,未知句型,
只剩下如水的柔和,未知句型,
汪淼拿过菜篮子同她一起上了楼,未知句型,
走进她的家门后发现,未知句型,
这里并不像他想象的那么冷清——有三个孩子在玩耍,否定句,
最大的不超过五岁,否定句,
小的刚会走路,未知句型,
杨母告诉汪淼,未知句型,
这都是邻居的孩子,肯定句,
“他们喜欢在我这儿玩儿,未知句型,
今天是星期天,肯定句,
他们的父母要加班,未知句型,
就把他们丢给我了……哦,把字句,
楠楠,未知句型,
你的画儿画完了吗,疑问句,
嗯,未知句型,
真好看,未知句型,
起个题目吧,未知句型,
太阳下的小鸭子,未知句型,
好,未知句型,
奶奶给你题上,未知句型,
再写上六月九日,未知句型,
楠楠作……中午你们都想吃什么呢,未知句型,
洋洋,未知句型,
烧茄子,未知句型,
好好,未知句型,
楠楠,未知句型,
昨天吃过的荷兰豆,未知句型,
好好,未知句型,
你呢,未知句型,
咪咪,未知句型,
肉肉,未知句型,
不,否定句,
你妈妈说了,未知句型,
不要吃那么多肉肉,否定句,
不好消化的,否定句,
吃鱼鱼好吗,疑问句,
看奶奶买回来的这么大的鱼鱼……”,未知句型,
她肯定想要孙子或孙女,肯定句,
但即使杨冬活着,未知句型,
会要孩子吗,疑问句,
看着杨母和孩子们投入地对话,未知句型,
汪淼心想,未知句型,
杨母将篮子提进厨房,未知句型,
出来后对汪淼说：“小汪啊,未知句型,
我先去把菜泡上,把字句,
现在的蔬菜农药残留很多,未知句型,
给孩子们吃至少要泡两小时以上……你可以先到冬冬的房间里看看,肯定句,
”,未知句型,
杨母最后一句看似无意的提议令汪淼陷入紧张和不安之中,否定句,
她显然看出了汪淼此行在内心深处的真正目的,未知句型,
她说完就转身回到厨房,未知句型,
没有看汪淼一眼,否定句,
自然看不到他的窘态,否定句,
她这几乎天衣无缝的善解人意令汪淼一阵感动,未知句型,
汪淼转身穿过快乐的孩子们,未知句型,
走向杨母刚才指向的那个房间,未知句型,
他在门前停住了,未知句型,
突然被一种奇异的感觉所淹没,被字句,
仿佛回到了少年多梦的时节,未知句型,
一如清晨露珠般晶莹脆弱的感受从记忆的深处中浮起,未知句型,
这里面有最初的伤感和刺痛,未知句型,
但都是玫瑰色的,肯定句,
汪淼轻轻推开门,未知句型,
扑面而来的淡淡的气息是他没有想到的,肯定句,
那是森林的气息,肯定句,
他仿佛进入了一间护林人的林间小屋,未知句型,
墙壁被一条条棕色的树皮覆盖着,被字句,
三只凳子是古朴的树桩,肯定句,
写字台也是由三个较大的树桩拼成的,肯定句,
还有那张床,未知句型,
铺的显然是东北的乌拉草,肯定句,
这一切都很粗糙、很随意,未知句型,
没有刻意表现出某种美感,否定句,
以杨冬的职位,未知句型,
她的收入是很高的,肯定句,
可以在任何一处高尚社区买下房子,肯定句,
可她一直同母亲住在这里,未知句型,
汪淼走到树桩写字台前,未知句型,
上面的陈设很简单,未知句型,
没有与学术有关的东西,否定句,
也没有与女性有关的东西,否定句,
也许都已经拿走了,未知句型,
也许从来就没在这里存在过,未知句型,
他首先注意到一张镶在木镜框中的黑白照片,未知句型,
是杨冬母女的合影,肯定句,
照片中的杨冬正值幼年,未知句型,
母亲蹲下正好同她一样高,未知句型,
风很大,未知句型,
将两人的头发吹到一起,未知句型,
照片的背景很奇怪,未知句型,
天空呈网格状,未知句型,
汪淼仔细察看支撑那网络的粗大的钢铁结构,未知句型,
推想那是一个抛物面天线或类似的东西,肯定句,
因为巨大,未知句型,
它的边缘超出了镜头,未知句型,
照片中,未知句型,
小杨冬的大眼睛中透出一种令汪淼心颤的恐惶,未知句型,
仿佛照片外的世界令她恐惧似的,未知句型,
汪淼注意到的第二件东西是放在写字台一角的一本厚厚的大本子,肯定句,
首先令他迷惑的是本子的材质,肯定句,
他看到封面上有一行稚拙的字：“杨冬的 huà(桦)皮本,未知句型,
”这才知道这本子是桦树皮做的,肯定句,
时光已经使银白色的桦皮变成暗黄,未知句型,
他伸手触了一下本子,未知句型,
犹豫了一下又缩了回来,未知句型,
“你看吧,未知句型,
那是冬冬小时候的画儿,肯定句,
”杨母在门口说,未知句型,
汪淼捧起桦皮本,未知句型,
轻轻地一页页翻看,未知句型,
每幅画上都有日期,未知句型,
明显是母亲为女儿注上的,肯定句,
就像他刚进门时看到的那样,未知句型,
汪淼又发现了一件多少让他不可理解的事：从画上的日期看,否定句,
这时的杨冬已经三岁多了,未知句型,
这么大的孩子通常都能够画出比较分明的人或物体的形状,未知句型,
但杨冬的画仍然只是随意纷乱的线条,肯定句,
汪淼从中看出了一种强烈的恼怒和绝望,未知句型,
一种想表达某种东西又无能为力的恼怒和绝望,未知句型,
这种感觉,未知句型,
是这种年龄的普通孩子所不具有的,肯定句,
杨母缓缓地坐到床沿上,未知句型,
双眼失神地看着汪淼手中的桦皮本,未知句型,
她女儿就是在这里,肯定句,
在安睡中结束自己的生命,未知句型,
汪淼在杨母身边坐下,未知句型,
他从来没有过如此强烈的愿望,否定句,
要与他人分担痛苦,未知句型,
杨母从汪淼手中拿过桦皮本,未知句型,
抱在胸前,未知句型,
轻声说：“我对冬冬的教育有些不知深浅,否定句,
让她太早接触了那些太抽象、太终极的东西,未知句型,
当她第一次表现出对那些抽象理论的兴趣时,未知句型,
我告诉她,未知句型,
那个世界,未知句型,
女人是很难进入的,肯定句,
她说居里夫人不是进入了吗,肯定句,
我告诉她,未知句型,
居里夫人根本没有进入,否定句,
她的成功只是源于勤奋和执着,肯定句,
没有她,否定句,
那些工作别人也会完成,未知句型,
倒是像吴健雄(当代最杰出的物理学家之一,肯定句,
在实验物理学研究上取得伟大的成就,未知句型,
她在实验室中首次证明了李政道和杨振宁关于弱相互作用中宇称不守恒的理论推测,否定句,
推翻了宇称守恒定律,未知句型,
)这样的女人还比她走得远些,未知句型,
但那真的不是女人的世界,肯定句,
女性的思维方式不同于男性,否定句,
这没有高下之分,否定句,
对世界来说都是必不可少的,肯定句,
“冬冬没有反驳我,否定句,
到后来,未知句型,
我真的发现她身上有些特殊的东西,未知句型,
比如给她讲一个公式,未知句型,
别的孩子会说‘这公式真巧妙’之类的,未知句型,
她则会说这公式真好看,未知句型,
真漂亮,未知句型,
那神情就像她看到一朵漂亮的野花一样,未知句型,
她父亲留下了一堆唱片,未知句型,
她听来听去,未知句型,
最后选择了一张巴赫的反复听,未知句型,
那是最不可能令孩子,肯定句,
特别是女孩子入迷的音乐了,肯定句,
开始我以为她是随意为之,肯定句,
但问她感受时,未知句型,
这孩子说：她看到一个巨人在大地上搭一座好大好复杂的房子,未知句型,
巨人一点一点地搭着,未知句型,
乐曲完了,未知句型,
大房子也就搭完了……”,未知句型,
“您对女儿的教育真是成功,肯定句,
”汪淼感慨地说,未知句型,
“不,否定句,
是失败啊,肯定句,
她的世界太单纯,未知句型,
只有那纯空灵的理论,未知句型,
那些东西一崩溃,未知句型,
就没有什么能支撑她活下去了,否定句,
”,未知句型,
“叶老师,未知句型,
您这么想我觉得也不对,否定句,
现在发生了一些让我们难以想象的事,未知句型,
这是一次空前的理论灾难,肯定句,
做出这种选择的科学家又不只是她一人,肯定句,
”,未知句型,
“可只有她一个女人,未知句型,
女人应该像水一样的,未知句型,
什么样的地方都能淌得过去啊,未知句型,
”,未知句型,
……,未知句型,
告辞时,未知句型,
汪淼才想到了来访的另一个目的,未知句型,
于是他向杨母说起了观测宇宙背景辐射的事,肯定句,
“哦,未知句型,
这个,未知句型,
国内有两个地方正在做,未知句型,
一个在乌鲁木齐观测基地,未知句型,
好像是中科院空间环境观测中心的项目,肯定句,
另一个很近,未知句型,
就在北京近郊的射电天文观测基地,未知句型,
是中科院和北大那个联合天体物理中心搞的,肯定句,
前面那个是实际地面观察,肯定句,
北京这个只是接收卫星数据,肯定句,
不过数据更准确、全面一些,否定句,
那里有我的一个学生,未知句型,
我帮你联系一下吧,未知句型,
”杨母说着,未知句型,
去找电话号码,未知句型,
然后给那个学生打电话,未知句型,
似乎很顺利,未知句型,
“没问题的,未知句型,
我给你个地址,未知句型,
你直接去就行,未知句型,
他叫沙瑞山,未知句型,
明天正好值夜班……你好像不是搞这专业的吧,肯定句,错
”杨母放下电话问,未知句型,
“我搞纳米,未知句型,
我这是为了……另外一些事情,肯定句,对
”汪淼很怕杨母追问下去,未知句型,
但她没有,否定句,
“小汪啊,未知句型,
你脸色怎么这么不好,否定句,
好像身体很虚的,未知句型,
”杨母关切地问,未知句型,
“没什么,未知句型,
就是这样儿,肯定句,对
”汪淼含糊地说,未知句型,
“你等等,未知句型,
”杨母从柜子里拿出一个小木盒,未知句型,
汪淼看到上面标明是人参,肯定句,对
